252.0,141.0,89.0
255.0,255.0,191.0
153.0,213.0,148.0
215.0,25.0,28.0
253.0,174.0,97.0
171.0,221.0,164.0
43.0,131.0,186.0
215.0,25.0,28.0
253.0,174.0,97.0
255.0,255.0,191.0
171.0,221.0,164.0
43.0,131.0,186.0
213.0,62.0,79.0
252.0,141.0,89.0
254.0,224.0,139.0
230.0,245.0,152.0
153.0,213.0,148.0
50.0,136.0,189.0
213.0,62.0,79.0
252.0,141.0,89.0
254.0,224.0,139.0
255.0,255.0,191.0
230.0,245.0,152.0
153.0,213.0,148.0
50.0,136.0,189.0
213.0,62.0,79.0
244.0,109.0,67.0
253.0,174.0,97.0
254.0,224.0,139.0
230.0,245.0,152.0
171.0,221.0,164.0
102.0,194.0,165.0
50.0,136.0,189.0
213.0,62.0,79.0
244.0,109.0,67.0
253.0,174.0,97.0
254.0,224.0,139.0
255.0,255.0,191.0
230.0,245.0,152.0
171.0,221.0,164.0
102.0,194.0,165.0
50.0,136.0,189.0
158.0,1.0,66.0
213.0,62.0,79.0
244.0,109.0,67.0
253.0,174.0,97.0
254.0,224.0,139.0
230.0,245.0,152.0
171.0,221.0,164.0
102.0,194.0,165.0
50.0,136.0,189.0
94.0,79.0,162.0
158.0,1.0,66.0
213.0,62.0,79.0
244.0,109.0,67.0
253.0,174.0,97.0
254.0,224.0,139.0
255.0,255.0,191.0
230.0,245.0,152.0
171.0,221.0,164.0
102.0,194.0,165.0
50.0,136.0,189.0
94.0,79.0,162.0
